ID	CONCEPT	DOCULECT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGNATES
4364	breast	SOGODNIN BORACAY	soso	s o s o	3 7 3 7	AXBZ	SUSU	127	127.S.C 127.U.V 127.S.C 127.U.V	2.0 1.5 1.75 0.8	soso	0	471
4404	breast	SOUTH SAAMI	5amah	a m a h	7 4 7 3	XBYN	AMAH	128	128.A.V 128.M.C 128.A.V 128.H.c	1.5 1.75 1.3 0.8	amah	0	550
4444	breast	SOUTHERN CATANDUANES	susu	s u s u	3 7 3 7	AXBZ	SYSY	129	129.S.C 129.Y.V 129.S.C 129.Y.V	2.0 1.5 1.75 0.8	susu	0	471
4484	breast	SOUTHERN SORSOGON	susu	s u s u	3 7 3 7	AXBZ	SYSY	131	131.S.C 131.Y.V 131.S.C 131.Y.V	2.0 1.5 1.75 0.8	susu	0	471
4524	breast	SOUTHWEST PALAWANO	dudoʔ	d u d o ʔ	1 7 1 7 1	AXBYN	TYTUH	132	132.T.C 132.Y.V 132.T.C 132.U.V 132.H.c	2.0 1.5 1.75 1.3 0.8	dudoʔ	0	437
4564	breast	SPANISH	peCo	p e c o	1 7 1 7	AXBZ	PECU	133	133.P.C 133.E.V 133.C.C 133.U.V	2.0 1.5 1.75 0.8	peco	0	555
4604	breast	SUBANON SIOCON	duduʔ	d u d u ʔ	1 7 1 7 1	AXBYN	TYTYH	134	134.T.C 134.Y.V 134.T.C 134.Y.V 134.H.c	2.0 1.5 1.75 1.3 0.8	duduʔ	0	437
4644	breast	SUBANUN SINDANGAN	duduʔ	d u d u ʔ	1 7 1 7 1	AXBYN	TYTYH	135	135.T.C 135.Y.V 135.T.C 135.Y.V 135.H.c	2.0 1.5 1.75 1.3 0.8	duduʔ	0	437
4684	breast	SURIGAONON	suso	s u s o	3 7 3 7	AXBZ	SYSU	136	136.S.C 136.Y.V 136.S.C 136.U.V	2.0 1.5 1.75 0.8	suso	0	471
4724	breast	TAGABAWA	susu	s u s u	3 7 3 7	AXBZ	SYSY	137	137.S.C 137.Y.V 137.S.C 137.Y.V	2.0 1.5 1.75 0.8	susu	0	471
4764	breast	TAGABILI	tutuʔ	t u t u ʔ	1 7 1 7 1	AXBYN	TYTYH	138	138.T.C 138.Y.V 138.T.C 138.Y.V 138.H.c	2.0 1.5 1.75 1.3 0.8	tutuʔ	0	437
4804	breast	TAGALOG	susu	s u s u	3 7 3 7	AXBZ	SYSY	139	139.S.C 139.Y.V 139.S.C 139.Y.V	2.0 1.5 1.75 0.8	susu	0	471
4884	breast	TAGBANWA ABORLAN	duduʔ	d u d u ʔ	1 7 1 7 1	AXBYN	TYTYH	141	141.T.C 141.Y.V 141.T.C 141.Y.V 141.H.c	2.0 1.5 1.75 1.3 0.8	duduʔ	0	437
4924	breast	TAGBANWA KALAMIAN	susuʔ	s u s u ʔ	3 7 3 7 1	AXBYN	SYSYH	142	142.S.C 142.Y.V 142.S.C 142.Y.V 142.H.c	2.0 1.5 1.75 1.3 0.8	susuʔ	0	471
